poi_id,feature_name,theme,sub_theme,project_category,project_relevance,include_in_mvp,latitude,longitude,valid_coordinate,duplicate_name_flag
POI0078,Cooks' Cottage,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8144604899837,144.979471339826,True,False
POI0218,FairFax Studio,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8216684581887,144.968836241692,True,False
POI0135,Fire Services Museum Victoria,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8085761281612,144.975373745366,True,False
POI0239,Forum Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.816485409696,144.969386556998,True,False
POI0048,Fox Classic Car Collection,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8213744301481,144.948496661709,True,False
POI0118,Hamer Hall,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8199901009015,144.967992144257,True,False
POI0122,Her Majesty's Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8109975612842,144.969520183129,True,False
POI0231,IMAX Melbourne,Place Of Assembly,Cinema,arts_and_culture,medium,True,-37.8034315561903,144.970639929886,True,False
POI0134,Immigration Museum,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8191798798062,144.960426777129,True,False
POI0074,Koorie Heritage Trust Inc,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8133854259085,144.954027907736,True,False
POI0238,La Mama Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.7991304956733,144.967669503083,True,False
POI0090,MTC Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8242661832902,144.968174400274,True,False
POI0150,Malthouse Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8271768001126,144.966936821789,True,False
POI0115,Melbourne Museum,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8035518129299,144.971690718887,True,False
POI0021,National Sports Museum,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8189544909462,144.984669809381,True,False
POI0088,Old Melbourne Gaol Crime & Justice Experience,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8077644149636,144.965463853978,True,False
POI0054,Playhouse,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8218124583016,144.968337832721,True,False
POI0193,Polly Woodside,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8242574266145,144.953478052064,True,False
POI0147,Princess Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8107257091302,144.9723265962,True,False
POI0040,Regent Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8160014744179,144.967916735261,True,False
POI0079,Royal Exhibition Building,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.80460262432,144.971521914952,True,False
POI0210,Sinclair's Cottage,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8145407488014,144.980554992725,True,False
POI0229,St Martins Youth Arts Centre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8352429531289,144.98114217385,True,False
POI0227,State Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8212806349773,144.968469643744,True,False
POI0196,The Ian Potter Centre: NGV Australia,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8174831423197,144.969899048343,True,False
POI0065,The Ian Potter Museum Of Art,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.7973939595503,144.964156669702,True,False
POI0125,The Museum Of Australian Chinese History,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8107686127655,144.96923385414,True,False
POI0151,Thoroughbred Racing Gallery,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8188662730911,144.9839700954,True,False
POI0206,Victoria Police Museum,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8222182774409,144.954039975197,True,False
POI0055,Victorian Arts Centre,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8219947335768,144.968837288153,True,False
POI0057,Central Pier,Place Of Assembly,Function/Conference/Exhibition Centre,assembly_and_events,medium,True,-37.8165177307702,144.943475014215,True,False
POI0096,Dallas Brooks Centre,Place Of Assembly,Function/Conference/Exhibition Centre,assembly_and_events,medium,True,-37.8097374138234,144.981383411592,True,False
POI0044,Melbourne Convention Centre,Place Of Assembly,Function/Conference/Exhibition Centre,assembly_and_events,medium,True,-37.8249040484653,144.952288281644,True,False
POI0089,Melbourne Exhibition Centre,Place Of Assembly,Function/Conference/Exhibition Centre,assembly_and_events,medium,True,-37.8252455123297,144.95435243249,True,False
POI0178,BIO 21 Institute,Education Centre,Tertiary (University),education,medium,True,-37.7978743305343,144.953780325865,True,False
POI0012,Carlton Gardens Primary School,Education Centre,Primary Schools,education,medium,True,-37.8020953835112,144.969406272035,True,False
POI0226,Carlton Primary School,Education Centre,Primary Schools,education,medium,True,-37.7959079757171,144.970147317976,True,False
POI0199,Kangan Batman Tafe,Education Centre,Further Education,education,medium,True,-37.8221818203024,144.948908460665,True,False
POI0047,Kensington Primary School,Education Centre,Primary Schools,education,medium,True,-37.7925235045455,144.927108735461,True,False
POI0009,Melbourne Girls Grammar School,Education Centre,School - Primary and Secondary Education,education,medium,True,-37.8315364518803,144.985089428348,True,False
POI0014,Melbourne Grammar School,Education Centre,Secondary Schools,education,medium,True,-37.8342561018747,144.976285045233,True,False
POI0023,North Melbourne Primary School,Education Centre,Primary Schools,education,medium,True,-37.7986737155551,144.951065772876,True,False
POI0075,RMIT University,Education Centre,Tertiary (University),education,medium,True,-37.8080795360545,144.964452974798,True,False
POI0148,University High School,Education Centre,Secondary Schools,education,medium,True,-37.7973136216903,144.956034449946,True,False
POI0066,University of Melbourne,Education Centre,Tertiary (University),education,medium,True,-37.7982892284927,144.96099520158,True,False
POI0228,University of Melbourne (VCA and Music),Education Centre,Tertiary (University),education,medium,True,-37.8241137662047,144.96933253996,True,False
POI0145,Wesley College,Education Centre,School - Primary and Secondary Education,education,medium,True,-37.8485201804496,144.982227770988,True,False
POI0181,Commonwealth Law Courts,Community Use,Public Buildings,public_service,medium,True,-37.8123961677596,144.955823833257,True,False
POI0071,Conservatory,Community Use,Public Buildings,public_service,medium,True,-37.814002127195,144.9785597431,True,False
POI0082,County Court Melbourne,Community Use,Public Buildings,public_service,medium,True,-37.8132011619962,144.957734246387,True,False
POI0116,Elisabeth Murdoch Hall,Community Use,Public Buildings,public_service,medium,True,-37.8239733704282,144.967450979234,True,False
POI0080,Melbourne Childrens Court,Community Use,Public Buildings,public_service,medium,True,-37.8125077646598,144.958298873269,True,False
POI0117,Melbourne Recital Centre,Community Use,Public Buildings,public_service,medium,True,-37.8238327885805,144.967682729667,True,False
POI0155,Melbourne Theatre Company,Community Use,Public Buildings,public_service,medium,True,-37.823930384816,144.968297429894,True,False
POI0194,Melbourne Town Hall,Community Use,Public Buildings,public_service,medium,True,-37.8150754791411,144.966542722283,True,False
POI0224,Melbourne Visitor Booth,Community Use,Visitor Centre,public_service,medium,True,-37.8139525061193,144.964425882562,True,False
POI0208,Melbourne Visitor Centre,Community Use,Visitor Centre,public_service,medium,True,-37.8177352402006,144.967937138226,True,False
POI0073,Metropolitan Fire Brigade (MFB),Community Use,Fire Station,public_service,medium,True,-37.8092318636838,144.975247619376,True,False
POI0058,NGV International,Community Use,Public Buildings,public_service,medium,True,-37.8230135000869,144.969342535451,True,False
POI0158,Shrine of Remembrance,Community Use,Public Buildings,public_service,medium,True,-37.8302080020387,144.973441913623,True,False
POI0128,Sidney Myer Music Bowl,Community Use,Public Buildings,public_service,medium,True,-37.8233471608733,144.974686151365,True,False
